,events,births,deaths
2016-01-01,121,298,104
2016-01-02,38,193,83
2016-01-03,46,191,108
2016-01-04,41,163,105
2016-01-05,35,165,79
2016-01-06,47,239,101
2016-01-07,41,198,108
2016-01-08,49,231,115
2016-01-09,48,206,111
2016-01-10,35,227,126
2016-01-11,41,201,118
2016-01-12,43,226,95
2016-01-13,49,205,98
2016-01-14,37,235,115
2016-01-15,41,214,107
2016-01-16,47,220,111
2016-01-17,52,234,116
2016-01-18,47,221,90
2016-01-19,53,191,98
2016-01-20,42,218,102
2016-01-21,36,211,111
2016-01-22,52,228,103
2016-01-23,49,216,97
2016-01-24,40,178,99
2016-01-25,56,170,89
2016-01-26,52,177,93
2016-01-27,34,214,92
2016-01-28,49,212,106
2016-01-29,39,146,66
2016-01-30,49,173,80
2016-01-31,50,194,88
2016-02-01,53,183,85
2016-02-02,42,205,0
2016-02-03,49,159,82
2016-02-04,45,138,73
2016-02-05,43,227,78
2016-02-06,41,231,92
2016-02-07,39,151,63
2016-02-08,58,154,86
2016-02-09,38,185,74
2016-02-10,37,173,77
2016-02-11,51,174,92
2016-02-12,50,185,92
2016-02-13,45,209,107
2016-02-14,62,174,85
2016-02-15,45,183,79
2016-02-16,41,161,67
2016-02-17,44,168,77
2016-02-18,49,179,87
2016-02-19,39,166,75
2016-02-20,49,161,75
2016-02-21,40,152,67
2016-02-22,51,172,83
2016-02-23,53,134,69
2016-02-24,53,160,76
2016-02-25,46,181,103
2016-02-26,30,173,85
2016-02-27,56,195,73
2016-02-28,57,200,73
2016-02-29,34,0,55
2016-03-01,97,171,78
2016-03-02,64,196,81
2016-03-03,59,181,81
2016-03-04,63,445,168
2016-03-05,40,262,92
2016-03-06,43,202,109
2016-03-07,31,166,66
2016-03-08,48,182,81
2016-03-09,44,170,78
2016-03-10,36,197,86
2016-03-11,46,219,100
2016-03-12,45,240,98
2016-03-13,39,185,95
2016-03-14,39,216,78
2016-03-15,49,210,94
2016-03-16,58,218,95
2016-03-17,44,189,86
2016-03-18,53,236,73
2016-03-19,45,190,81
2016-03-20,42,233,89
2016-03-21,48,247,100
2016-03-22,41,217,97
2016-03-23,42,236,94
2016-03-24,44,233,84
2016-03-25,45,220,107
2016-03-26,42,257,103
2016-03-27,50,502,338
2016-03-28,38,279,114
2016-03-29,53,231,95
2016-03-30,36,225,121
2016-03-31,48,315,100
2016-04-01,74,271,99
2016-04-02,40,226,105
2016-04-03,41,241,84
2016-04-04,56,270,120
2016-04-05,48,240,104
2016-04-06,65,233,90
2016-04-07,61,226,115
2016-04-08,58,215,85
2016-04-09,57,240,103
2016-04-10,48,227,106
2016-04-11,48,223,104
2016-04-12,42,243,89
2016-04-13,42,273,113
2016-04-14,57,224,88
2016-04-15,41,263,125
2016-04-16,48,262,121
2016-04-17,36,228,97
2016-04-18,38,236,79
2016-04-19,40,221,101
2016-04-20,49,248,105
2016-04-21,47,215,101
2016-04-22,37,228,96
2016-04-23,39,220,105
2016-04-24,39,212,85
2016-04-25,55,237,101
2016-04-26,42,208,93
2016-04-27,57,219,85
2016-04-28,43,198,101
2016-04-29,47,238,91
2016-04-30,56,193,102
2016-05-01,85,235,79
2016-05-02,52,209,94
2016-05-03,44,205,93
2016-05-04,46,175,79
2016-05-05,53,178,79
2016-05-06,54,196,82
2016-05-07,48,190,73
2016-05-08,46,259,115
2016-05-09,54,160,81
2016-05-10,59,156,67
2016-05-11,50,171,71
2016-05-12,56,167,74
2016-05-13,58,259,86
2016-05-14,35,262,111
2016-05-15,75,230,77
2016-05-16,44,216,85
2016-05-17,52,224,96
2016-05-18,57,213,96
2016-05-19,46,203,103
2016-05-20,58,185,83
2016-05-21,69,195,92
2016-05-22,74,234,73
2016-05-23,42,205,104
2016-05-24,54,162,89
2016-05-25,55,220,98
2016-05-26,53,196,103
2016-05-27,49,215,94
2016-05-28,49,209,86
2016-05-29,54,204,100
2016-05-30,55,222,108
2016-05-31,47,194,101
2016-06-01,59,210,93
2016-06-02,34,179,107
2016-06-03,46,196,87
2016-06-04,50,207,75
2016-06-05,55,185,73
2016-06-06,52,175,82
2016-06-07,49,180,90
2016-06-08,47,205,89
2016-06-09,48,221,77
2016-06-10,54,201,101
2016-06-11,56,204,88
2016-06-12,45,235,88
2016-06-13,46,285,78
2016-06-14,53,204,98
2016-06-15,59,235,96
2016-06-16,53,228,95
2016-06-17,47,212,85
2016-06-18,47,240,100
2016-06-19,40,254,100
2016-06-20,44,241,76
2016-06-21,45,266,110
2016-06-22,40,219,82
2016-06-23,57,196,91
2016-06-24,54,248,72
2016-06-25,41,203,105
2016-06-26,68,206,92
2016-06-27,38,177,77
2016-06-28,59,203,86
2016-06-29,42,226,84
2016-06-30,47,190,87
2016-07-01,88,220,104
2016-07-02,48,171,94
2016-07-03,38,182,83
2016-07-04,79,233,117
2016-07-05,51,226,71
2016-07-06,64,149,93
2016-07-07,57,161,86
2016-07-08,41,151,94
2016-07-09,53,185,83
2016-07-10,57,212,84
2016-07-11,63,188,80
2016-07-12,43,202,86
2016-07-13,30,165,88
